,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min),prediction
15269,6C0B,VADRES04DEL03,33,4.9,0.0,0.0,0.09,0.09,Buffet ,motorcycle ,23,22.902306
16918,C402,LUDHRES03DEL02,38,4.3,30.88722,75.804893,30.93722,75.854893,Buffet ,motorcycle ,35,34.991367
27483,989A,RANCHIRES17DEL01,26,4.7,23.374878,85.335739,23.444878,85.405739,Meal ,motorcycle ,22,22.04425
7870,88BA,BANGRES09DEL01,30,4.8,12.934179,77.615797,12.974179,77.655797,Snack ,motorcycle ,27,26.934023
34797,3F8F,JAPRES19DEL01,38,4.4,26.913726,75.75282,27.023726,75.86282,Buffet ,motorcycle ,35,35.02575
15170,3C42,RANCHIRES06DEL03,20,4.5,23.357804,85.325146,23.417804,85.385146,Snack ,motorcycle ,41,40.924988
9366,9C93,INDORES20DEL03,39,4.0,22.732225,75.874765,22.792225,75.934765,Buffet ,motorcycle ,44,43.56187
5936,7E+36,SURRES15DEL03,33,4.7,21.160522,72.771477,21.250522,72.861477,Snack ,scooter ,24,23.872654
8339,7F08,HYDRES14DEL01,25,4.3,17.426228,78.407495,17.536228,78.517495,Snack ,electric_scooter ,39,38.854927
6847,B118,HYDRES13DEL01,20,4.8,17.431477,78.40035,17.541477,78.51035,Drinks ,electric_scooter ,22,22.060421
3416,816B,COIMBRES11DEL01,37,4.6,11.001753,76.986241,11.071753,77.056241,Buffet ,motorcycle ,28,28.029602
33556,950E,COIMBRES07DEL01,32,4.1,10.96185,76.971082,11.07185,77.081082,Drinks ,motorcycle ,43,43.02076
9118,29B4,VADRES18DEL03,30,4.5,0.0,0.0,0.06,0.06,Meal ,motorcycle ,27,26.934023
23034,7816,MUMRES01DEL01,30,4.3,19.12663,72.829976,19.16663,72.869976,Buffet ,motorcycle ,31,30.996916
516,7BF,SURRES13DEL02,30,3.8,21.170096,72.789122,21.250096,72.869122,Buffet ,scooter ,40,40.136845
22417,44F2,SURRES12DEL03,29,4.9,21.183434,72.814492,21.213434,72.844492,Meal ,motorcycle ,10,10.315241
20057,B706,INDORES03DEL01,24,4.7,22.751857,75.866699,22.791857,75.906699,Meal ,scooter ,13,12.919844
416,66F1,SURRES09DEL01,38,4.8,21.175975,72.795503,21.285975,72.905503,Buffet ,motorcycle ,46,45.89883
31772,D39C,DEHRES16DEL02,20,4.1,30.342509,78.061187,30.362509,78.081187,Meal ,motorcycle ,15,14.945256
10538,8A8,JAPRES20DEL03,29,4.6,26.956431,75.776649,27.046431,75.866649,Buffet ,scooter ,25,24.913887
8879,2FA4,CHENRES20DEL01,26,4.5,12.975996,80.221898,13.015996,80.261898,Drinks ,motorcycle ,12,12.026814
15497,C48E,ALHRES11DEL01,35,4.9,0.0,0.0,0.01,0.01,Meal ,electric_scooter ,17,17.148546
37750,A320,SURRES01DEL01,36,5.0,21.186438,72.794115,21.226438,72.834115,Drinks ,motorcycle ,48,47.699024
3031,1739,VADRES18DEL02,36,4.7,0.0,0.0,0.13,0.13,Drinks ,motorcycle ,25,24.887524
7427,6B3F,MYSRES20DEL02,28,5.0,12.337978,76.616792,12.467978,76.746792,Snack ,motorcycle ,17,17.155363
27276,8408,SURRES04DEL03,32,4.6,21.173493,72.801953,21.263493,72.891953,Snack ,motorcycle ,36,35.9905
4028,AFFA,INDORES14DEL03,20,4.6,22.761593,75.886362,22.821593,75.946362,Drinks ,motorcycle ,10,10.308073
22665,822A,VADRES20DEL03,32,4.7,22.311358,73.164798,22.371358,73.224798,Snack ,motorcycle ,16,15.912927
32134,9D81,INDORES04DEL01,31,3.9,22.753659,75.903365,22.863659,76.013365,Buffet ,scooter ,31,30.716867
12758,79E,BANGRES09DEL01,26,5.0,12.934179,77.615797,13.004179,77.685797,Buffet ,motorcycle ,15,14.924431
24385,CC98,AURGRES02DEL01,28,4.9,0.0,0.0,0.01,0.01,Buffet ,scooter ,14,14.036577
17683,23EB,MYSRES19DEL02,33,4.7,12.334022,76.618203,12.354022,76.638203,Meal ,electric_scooter ,26,26.144175
5020,B57B,RANCHIRES19DEL03,38,4.1,23.333017,85.3172,23.393017,85.3772,Buffet ,motorcycle ,37,36.90188
17556,ADA7,MYSRES14DEL03,29,4.9,0.0,0.0,0.09,0.09,Snack ,scooter ,22,22.060421
5152,823A,HYDRES12DEL02,29,5.0,17.429585,78.392621,17.559585,78.522621,Snack ,scooter ,17,17.15564
35027,7AAB,SURRES07DEL02,20,2.6,21.170798,72.790489,21.250798,72.870489,Snack ,scooter ,34,34.072105
13077,2AF1,HYDRES15DEL01,23,4.9,17.45971,78.368855,17.46971,78.378855,Meal ,motorcycle ,11,10.9934435
7267,6DC2,MYSRES11DEL03,38,4.7,12.323225,76.630028,12.413225,76.720028,Drinks ,electric_scooter ,40,40.136845
6496,AB2E,RANCHIRES20DEL03,32,4.6,23.39925,85.390464,23.48925,85.480464,Buffet ,motorcycle ,49,49.22008
26115,C655,GOARES16DEL01,35,3.7,15.498603,73.826911,15.608603,73.936911,Meal ,scooter ,33,33.00212
12276,C7FB,KOCRES13DEL01,29,4.6,9.991703,76.293136,10.001703,76.303136,Drinks ,motorcycle ,49,48.375202
5215,DA07,AGRRES010DEL03,33,4.9,27.163303,78.057044,27.193303,78.087044,Drinks ,electric_scooter ,18,18.47333
12075,B96D,RANCHIRES12DEL01,27,2.7,0.0,0.0,0.11,0.11,Meal ,scooter ,31,30.716867
26048,BD56,INDORES19DEL01,39,4.1,22.745536,75.893106,22.785536,75.933106,Drinks ,electric_scooter ,31,30.874472
26276,8FFE,CHENRES05DEL01,21,4.3,13.058616,80.264151,13.128616,80.334151,Meal ,motorcycle ,37,36.77234
30446,3D91,JAPRES01DEL01,26,4.8,26.90519,75.810753,26.94519,75.850753,Snack ,electric_scooter ,14,13.873483
98,4161,COIMBRES19DEL02,33,4.7,11.022298,76.998349,11.072298,77.048349,Snack ,motorcycle ,20,19.840448
35161,5CE9,VADRES010DEL03,23,4.6,22.310329,73.169083,22.400329,73.259083,Buffet ,electric_scooter ,27,27.11441
44322,794B,SURRES18DEL01,28,4.7,21.149834,72.778666,21.219834,72.848666,Meal ,motorcycle ,20,19.83482
32183,2DA0,JAPRES09DEL02,37,4.8,26.911378,75.789034,27.041378,75.919034,Buffet ,motorcycle ,22,22.04425
34035,176D,RANCHIRES11DEL02,34,4.9,23.359194,85.325447,23.439194,85.405447,Drinks ,motorcycle ,26,26.00238
38983,BFC8,DEHRES17DEL02,31,3.5,30.327968,78.046106,30.407968,78.126106,Buffet ,scooter ,39,38.854927
4265,A57B,JAPRES16DEL01,35,4.7,26.849596,75.800512,26.859596,75.810512,Buffet ,scooter ,12,11.834962
7586,C1B7,KOCRES04DEL02,26,4.5,9.966783,76.242981,10.046783,76.322981,Buffet ,electric_scooter ,21,21.124123
13602,9CD1,RANCHIRES11DEL02,34,5.0,23.359194,85.325447,23.379194,85.345447,Buffet ,scooter ,31,30.754547
39245,5FBD,BANGRES16DEL03,34,5.0,13.029198,77.570997,13.089198,77.630997,Buffet ,motorcycle ,30,29.963593
22037,6078,COIMBRES05DEL01,35,4.6,11.022169,76.999594,11.132169,77.109594,Drinks ,scooter ,29,29.141817
11281,7241,HYDRES11DEL02,29,4.7,17.430448,78.418213,17.480448,78.468213,Meal ,scooter ,10,10.082401
2388,2209,HYDRES02DEL03,22,4.6,17.41233,78.449654,17.44233,78.479654,Drinks ,scooter ,14,13.873483
30893,2967,MUMRES04DEL01,29,4.6,19.254567,72.848923,19.294567,72.888923,Snack ,motorcycle ,53,52.163406
32326,BF33,KNPRES03DEL03,50,6.0,-26.469003,-80.316344,26.559003,80.406344,Drinks ,scooter ,17,17.056496
32205,1019,BANGRES010DEL02,30,4.9,12.933298,77.614293,13.063298,77.744293,Drinks ,motorcycle ,42,42.090275
40085,9DC4,MUMRES14DEL03,34,4.9,19.1813,72.836191,19.2113,72.866191,Buffet ,scooter ,25,24.99143
38609,4E+77,INDORES07DEL02,34,3.8,22.722634,75.886959,22.852634,76.016959,Meal ,motorcycle ,39,38.91466
31462,4908,HYDRES19DEL01,37,4.6,17.458998,78.500366,17.568998,78.610366,Buffet ,scooter ,41,40.945267
23101,CF7D,AURGRES01DEL02,36,3.9,19.876219,75.346017,20.006219,75.476017,Buffet ,scooter ,34,34.072105
45060,CC9F,ALHRES12DEL02,32,4.7,25.443994,81.860187,25.573994,81.990187,Meal ,motorcycle ,25,24.887524
11658,3C40,COIMBRES20DEL02,33,4.9,10.994136,76.963303,11.014136,76.983303,Buffet ,motorcycle ,49,48.375202
21420,5BE5,MYSRES02DEL01,25,4.8,12.304569,76.643622,12.314569,76.653622,Buffet ,scooter ,19,19.030708
41719,D17D,AURGRES08DEL01,39,4.1,19.876428,75.364792,19.946428,75.434792,Buffet ,motorcycle ,42,42.090275
5159,2664,HYDRES16DEL02,34,4.9,17.440827,78.393391,17.460827,78.413391,Meal ,motorcycle ,22,22.039864
3753,E0EB,KOCRES02DEL01,35,5.0,10.028047,76.310019,10.068047,76.350019,Buffet ,scooter ,36,35.870525
13800,AE88,HYDRES01DEL01,26,4.8,17.410371,78.437225,17.480371,78.507225,Snack ,motorcycle ,10,10.864391
7478,557F,SURRES12DEL03,21,4.9,21.183434,72.814492,21.243434,72.874492,Snack ,scooter ,22,22.04991
10820,A7AE,SURRES07DEL03,24,4.8,21.170798,72.790489,21.200798,72.820489,Snack ,motorcycle ,16,15.912927
41650,8D3A,SURRES01DEL02,34,4.1,21.186438,72.794115,21.316438,72.924115,Meal ,motorcycle ,46,45.89883
2020,4FA8,RANCHIRES04DEL01,26,4.5,23.359033,85.325347,23.369033,85.335347,Buffet ,scooter ,11,10.829355
5822,43F9,COIMBRES07DEL03,36,4.7,10.96185,76.971082,11.02185,77.031082,Meal ,motorcycle ,16,15.912927
16253,DE02,GOARES07DEL01,26,4.9,15.561295,73.749478,15.601295,73.789478,Drinks ,motorcycle ,18,18.007782
42190,6243,MYSRES19DEL02,26,4.5,12.334022,76.618203,12.384022,76.668203,Snack ,motorcycle ,21,21.113577
36663,3883,HYDRES14DEL02,20,4.9,17.426228,78.407495,17.556228,78.537495,Snack ,scooter ,29,29.141817
37603,76BE,MUMRES13DEL02,26,4.7,19.178321,72.834715,19.308321,72.964715,Buffet ,motorcycle ,21,21.107952
32908,2398,BANGRES13DEL01,30,4.8,12.935662,77.61413,13.045662,77.72413,Snack ,scooter ,25,24.913887
14832,7904,HYDRES08DEL02,26,4.9,17.438263,78.397865,17.518263,78.477865,Meal ,motorcycle ,27,27.088047
19160,770C,JAPRES01DEL01,28,4.9,26.90519,75.810753,26.94519,75.850753,Meal ,motorcycle ,24,23.939972
1508,11B5,INDORES13DEL02,26,4.6,22.745049,75.892471,22.765049,75.912471,Buffet ,electric_scooter ,14,14.036577
6111,7494,INDORES08DEL03,24,4.7,22.725748,75.898497,22.785747,75.958497,Meal ,motorcycle ,16,15.912927
10054,992E,MUMRES05DEL02,37,4.9,18.927584,72.832585,18.947584,72.852585,Drinks ,motorcycle ,15,14.945256
6939,BE5D,MYSRES010DEL01,37,4.5,12.321214,76.621094,12.361214,76.661094,Snack ,scooter ,24,23.950197
28990,8460,HYDRES07DEL02,31,4.8,17.424114,78.347554,17.554114,78.477554,Buffet ,scooter ,21,21.124123
26885,65A1,JAPRES16DEL03,24,4.8,26.849596,75.800512,26.909596,75.860512,Drinks ,scooter ,11,10.939624
18988,148C,BANGRES15DEL02,38,4.7,12.975377,77.696664,13.025377,77.746664,Meal ,motorcycle ,17,16.993757
15557,6192,RANCHIRES010DEL03,29,4.6,23.354422,85.3329,23.384422,85.3629,Buffet ,scooter ,15,14.788152
40736,1260,MYSRES010DEL01,23,4.6,12.321214,76.621094,12.331214,76.631094,Snack ,motorcycle ,21,21.103565
38299,242A,HYDRES16DEL02,33,4.1,17.440827,78.393391,17.460827,78.413391,Buffet ,motorcycle ,23,22.921125
39448,6.8E+04,CHENRES12DEL03,26,4.8,12.972793,80.249982,13.062793,80.339982,Buffet ,motorcycle ,21,21.107952
2507,3A53,MYSRES17DEL01,27,4.5,12.326356,76.619103,12.336356,76.629103,Snack ,motorcycle ,15,14.945256
41685,DC06,GOARES14DEL03,29,4.8,15.157944,73.950889,15.247944,74.040889,Snack ,motorcycle ,29,29.115454
25303,E1C7,BHPRES03DEL01,26,4.8,23.214294,77.435361,23.224294,77.445361,Buffet ,motorcycle ,37,36.66263
37456,304A,RANCHIRES11DEL01,29,3.5,23.359194,85.325447,23.469194,85.435447,Drinks ,scooter ,34,34.072105
29789,ABCE,VADRES07DEL01,24,4.2,0.0,0.0,0.11,0.11,Drinks ,motorcycle ,39,38.91466
14295,20EC,BANGRES19DEL02,31,5.0,12.914264,77.6784,12.994264,77.7584,Snack ,electric_scooter ,26,26.028744
4253,8CB3,SURRES01DEL03,22,4.8,21.186438,72.794115,21.276438,72.884115,Buffet ,scooter ,20,19.850994
41656,1E+06,VADRES15DEL01,20,4.5,0.0,0.0,0.04,0.04,Drinks ,scooter ,23,23.151405
8763,849B,MYSRES01DEL01,23,4.6,12.311072,76.654878,12.381072,76.724878,Snack ,motorcycle ,35,35.02575
31023,41A4,VADRES06DEL02,24,3.4,22.31279,73.170283,22.39279,73.250283,Snack ,scooter ,38,38.188335
33859,B68,JAPRES06DEL02,39,4.9,26.911927,75.797282,27.041927,75.927282,Snack ,scooter ,40,40.136845
953,7023,RANCHIRES07DEL02,37,4.7,23.359407,85.325055,23.439407,85.405055,Meal ,motorcycle ,20,19.83482
16542,41FB,PUNERES20DEL01,28,5.0,18.592718,73.773572,18.632718,73.813572,Meal ,scooter ,13,12.919844
10996,7066,HYDRES11DEL03,31,4.5,17.430448,78.418213,17.520448,78.508213,Meal ,motorcycle ,44,43.720245
8596,CA63,LUDHRES08DEL03,34,4.7,30.899992,75.831338,31.039992,75.971338,Drinks ,motorcycle ,17,17.155363
3161,911D,JAPRES05DEL02,35,4.0,26.905287,75.794592,26.955287,75.844592,Buffet ,motorcycle ,34,34.05279
22833,1.8E+08,VADRES19DEL02,26,4.8,22.311844,73.165081,22.391844,73.245081,Buffet ,scooter ,18,17.995632
37512,8479,RANCHIRES01DEL02,34,4.7,23.416792,85.316842,23.546792,85.446842,Buffet ,motorcycle ,35,35.02575
42149,B587,HYDRES01DEL01,34,4.4,17.410371,78.437225,17.520371,78.547225,Snack ,scooter ,44,43.57702
29822,942B,COIMBRES14DEL01,31,4.1,11.003681,76.975525,11.043681,77.015525,Drinks ,motorcycle ,35,34.991367
25261,825A,VADRES08DEL02,35,4.7,0.0,0.0,0.13,0.13,Buffet ,motorcycle ,24,23.846292
36423,3411,SURRES14DEL03,36,4.5,21.157729,72.768726,21.187729,72.798726,Meal ,scooter ,21,21.113611
10072,4E+38,SURRES06DEL01,21,4.8,21.185047,72.80859,21.295047,72.91859,Buffet ,motorcycle ,28,28.029602
2658,3425,VADRES15DEL02,23,4.9,0.0,0.0,0.13,0.13,Meal ,scooter ,23,22.928667
13926,232D,SURRES12DEL02,29,4.6,21.183434,72.814492,21.313434,72.944492,Snack ,motorcycle ,20,19.83482
38875,5EE1,INDORES01DEL01,39,4.9,22.695207,75.866059,22.765207,75.936059,Meal ,electric_scooter ,25,24.913887
5466,2CA1,BANGRES07DEL03,26,4.9,12.978453,77.643685,13.038453,77.703685,Buffet ,electric_scooter ,14,13.873483
21934,CB87,BHPRES12DEL01,37,4.0,0.0,0.0,0.11,0.11,Meal ,motorcycle ,38,38.21929
22783,8D7D,PUNERES15DEL02,31,4.9,18.636215,73.751081,18.716215,73.831081,Snack ,scooter ,26,26.028744
19370,DAE,MUMRES20DEL02,28,4.6,19.103249,72.846749,19.153249,72.896749,Buffet ,motorcycle ,23,23.14118
32078,ADE0,SURRES02DEL02,39,4.4,21.186608,72.794136,21.316608,72.924136,Drinks ,scooter ,34,34.072105
14065,B3C4,CHENRES04DEL03,35,4.1,13.02978,80.208812,13.11978,80.298812,Meal ,scooter ,44,43.57702
5653,900F,CHENRES19DEL02,36,4.5,12.986047,80.218114,13.036047,80.268114,Drinks ,scooter ,29,29.058903
2666,CF8B,AURGRES18DEL03,24,4.7,19.888716,75.321461,19.978716,75.411461,Meal ,motorcycle ,21,21.107952
15452,B11,COIMBRES16DEL02,31,4.6,11.010375,76.95295,11.030375,76.97295,Drinks ,scooter ,25,24.955198
19927,D9F1,KOCRES04DEL01,28,4.4,9.966783,76.242981,10.076783,76.352981,Drinks ,motorcycle ,42,42.090275
24650,BCFF,COIMBRES09DEL01,21,4.9,11.008638,76.984311,11.018638,76.994311,Buffet ,motorcycle ,18,17.97564
21735,C801,AURGRES07DEL03,35,4.6,19.875908,75.358888,19.935908,75.418888,Meal ,motorcycle ,29,29.048677
5864,7D48,PUNERES12DEL02,28,4.9,18.520016,73.830547,18.600016,73.910547,Snack ,scooter ,34,34.072105
8718,84B,MUMRES04DEL03,29,4.9,19.254567,72.848923,19.284567,72.878923,Snack ,electric_scooter ,12,11.905642
21324,4DF2,SURRES20DEL03,28,4.5,21.15276,72.778059,21.18276,72.808059,Snack ,electric_scooter ,13,12.919844
39137,137B,RANCHIRES19DEL01,32,4.9,23.333017,85.3172,23.443017,85.4272,Buffet ,electric_scooter ,23,22.928667
32999,540F,MYSRES07DEL02,22,4.8,12.325461,76.632278,12.455461,76.762278,Drinks ,scooter ,27,27.11441
19292,5CB7,COIMBRES03DEL02,30,4.9,11.025083,77.015393,11.155083,77.145393,Snack ,motorcycle ,22,22.04425
30509,A217,MYSRES20DEL02,22,4.9,12.337978,76.616792,12.357978,76.636792,Meal ,scooter ,18,17.960625
33109,1A5E,MYSRES07DEL01,22,4.6,12.325461,76.632278,12.335461,76.642278,Drinks ,electric_scooter ,12,11.834962
43547,B306,JAPRES09DEL01,29,4.8,26.911378,75.789034,26.981378,75.859034,Drinks ,scooter ,15,14.924707
3893,E8F,INDORES11DEL01,29,4.9,22.751234,75.88949,22.821234,75.95949,Buffet ,motorcycle ,20,19.83482
41051,A535,CHENRES11DEL02,36,4.9,13.064181,80.236442,13.084181,80.256442,Drinks ,scooter ,23,22.903637
20490,E0A5,AURGRES04DEL03,36,4.7,19.876106,75.340775,19.936106,75.400775,Drinks ,scooter ,18,18.020481
847,A03A,SURRES02DEL01,32,3.8,21.186608,72.794136,21.296608,72.904136,Drinks ,motorcycle ,31,30.823174
10941,7AA5,HYDRES20DEL02,25,4.6,17.483216,78.552111,17.533216,78.602111,Snack ,motorcycle ,16,15.912927
30817,512E,JAPRES06DEL03,22,4.9,26.911927,75.797282,26.941927,75.827282,Snack ,motorcycle ,29,29.071573
34024,87CF,PUNERES14DEL02,30,4.9,18.516216,73.842527,18.646216,73.972527,Snack ,scooter ,20,19.850994
44102,48AE,PUNERES04DEL03,29,4.5,18.51421,73.838429,18.57421,73.898429,Buffet ,motorcycle ,12,12.026814
13253,438B,JAPRES09DEL01,34,4.6,26.911378,75.789034,26.981378,75.859034,Drinks ,motorcycle ,18,17.966793
16185,924D,BANGRES01DEL02,27,5.0,12.933284,77.615428,13.063284,77.745428,Buffet ,scooter ,16,16.074812
41620,C966,AGRRES15DEL02,26,4.5,0.0,0.0,0.05,0.05,Meal ,scooter ,12,11.905642
44405,721F,MYSRES02DEL01,37,4.7,12.304569,76.643622,12.344569,76.683622,Meal ,motorcycle ,30,29.963593
27435,1E4D,JAPRES01DEL03,23,4.7,26.90519,75.810753,26.99519,75.900753,Drinks ,motorcycle ,21,21.107952
11715,E1CA,AURGRES12DEL03,33,4.6,19.879631,75.323403,19.909631,75.353403,Drinks ,scooter ,28,27.885803
35330,49AE,HYDRES17DEL01,37,4.7,17.451976,78.385883,17.491976,78.425883,Buffet ,scooter ,22,22.04991
17265,9EBC,BANGRES16DEL02,31,4.9,13.029198,77.570997,13.079198,77.620997,Meal ,scooter ,30,30.001165
39647,7.1E+03,SURRES19DEL03,36,4.6,21.149669,72.772629,21.209669,72.832629,Drinks ,motorcycle ,26,26.16404
